time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss
5883,157.6575,157.68,1720320,292,105,0.9835977833718061,-0.0015715538245785865,0.03620264,1040,0.3947902023792267,0.203399658203125,3.3041994918487037,0.0003,0.2,-0.7283216236974113
5938,157.5575,153.32,1736704,292,106,0.9848616942763329,-0.003839332310781174,0.036320914,1050,1.4824333190917969,0.195208740234375,3.7321901608956978,0.0003,0.2,-0.7371633720118552
5995,158.765,148.65,1753088,292,107,0.983937120065093,-0.0024996277490572536,0.038179256,1060,0.5761840343475342,0.198846435546875,3.769720472674817,0.0003,0.2,-0.7241215038113296
6054,158.525,145.84,1769472,292,108,0.9855673033744097,-0.004048652007077181,0.03781648,1070,0.48060452938079834,0.20162353515625,3.6976018198765814,0.0003,0.2,-0.7564340351265855
6108,159.00563707999999,147.96,1785856,292,109,0.9846374215558171,-0.0008417790078965482,0.04080212,1080,0.5236048698425293,0.216436767578125,3.9951640760991722,0.0003,0.2,-0.742217919533141
6165,157.9375,149.72,1802240,292,110,0.9853894021362066,-0.0016245582215560716,0.046602074,1090,0.46567946672439575,0.216375732421875,3.7034273532917723,0.0003,0.2,-0.7666334883775562
6214,157.0975,146.73,1818624,292,111,0.9854387799277902,-0.001383574167812185,0.04174346,1100,0.47001945972442627,0.207415771484375,4.227207687846385,0.0003,0.2,-0.7690030332887545
6292,152.1175,138.55,1835008,291,112,0.9866775693371892,0.0007858757837311714,0.03822098,1110,0.32223111391067505,0.20499267578125,3.7301505757961424,0.0003,0.2,-0.7110325542627833
6350,157.92,154.23,1851392,291,113,0.982160460203886,-0.003401360355746874,0.042450547,1120,1.5601662397384644,0.2050537109375,4.93288569485303,0.0003,0.2,-0.6792747012339533
6461,161.12563708,162.95,1867776,289,114,0.9838497489690781,-0.003368683552434959,0.038060635,1130,1.261620283126831,0.19000244140625,4.123161706503015,0.0003,0.2,-0.6715979122091085
6517,158.255,155.26,1884160,289,115,0.9849049784243107,-0.0022239785312194726,0.039457086,1140,0.5779145359992981,0.212957763671875,3.653133896761574,0.0003,0.2,-0.7112428967724554
6571,156.4778461,139.24,1900544,289,116,0.9854555875062943,-0.002392753944332071,0.043602668,1150,0.769568681716919,0.22705078125,3.48008649693802,0.0003,0.2,-0.721046959166415
6671,157.6875,136.42,1916928,287,117,0.9838732555508614,-0.0019729008111426085,0.044617422,1160,0.7905339002609253,0.20694580078125,4.266405228083022,0.0003,0.2,-0.6782885422813706
6768,158.4575,141.96,1933312,285,118,0.9811144582927227,-0.0016650622366796597,0.04354332,1170,0.4187818169593811,0.2052490234375,5.151279284805059,0.0003,0.2,-0.687876227882225
6866,163.28813707999998,156.35,1949696,283,119,0.9834169261157513,0.0011101062695161091,0.04286182,1180,0.4822726845741272,0.211175537109375,4.937525683455169,0.0003,0.2,-0.6824182608630508
6947,159.00813707999998,156.36,1966080,283,120,0.9845019737258554,-0.002264670609656605,0.034840357,1190,0.5291329026222229,0.1947265625,3.9261194214224817,0.0003,0.2,-0.7140419007046148
7046,159.20412026,151.8,1982464,281,121,0.9861985575407743,-0.0017156387266368256,0.041927844,1200,0.3242349326610565,0.2051513671875,3.694671931117773,0.0003,0.2,-0.7384294348070398
7100,162.39063708,172.05,1998848,281,122,0.9849341958761215,-0.000979713497144985,0.03963225,1210,0.36812832951545715,0.2100341796875,4.110100275138393,0.0003,0.2,-0.747648560651578
