time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/n_updates
16438,2188.16,-71.7714,300,301,4931584,0.5402425825595856,0.2,0.049703673,-0.0012890679608972277,0.24111728370189667,0.0003,-0.4106348843080923,0.14205322265625,0.660384561977844,3000
16490,2493.9,-74.8288,300,302,4947968,0.6079277694225311,0.2,0.067288265,-0.014489174496520717,0.34999117255210876,0.0003,-0.5159336622920818,0.206207275390625,0.589647411959595,3010
16544,2692.7,-76.8168,300,303,4964352,0.4559406638145447,0.2,0.033696502,-0.008412832670001081,0.4661949872970581,0.0003,-0.45614211983047426,0.13778076171875,0.8850610484158097,3020
16594,2745.7,-77.34679999999999,300,304,4980736,0.3177102208137512,0.2,0.03286419,-0.00391324202009855,0.3836134672164917,0.0003,-0.4830186503822915,0.14766845703125,2.153591539134504,3030
16652,2392.21,-73.9121,300,305,4997120,0.40177762508392334,0.2,0.03615495,-0.00573791960177914,1.5070245265960693,0.0003,-0.43999850609106944,0.126177978515625,2.7480505735889893,3040
16707,2124.37,-71.23369999999998,300,306,5013504,0.46435773372650146,0.2,0.028113842,-0.006997386853254284,0.549847424030304,0.0003,-0.4422172428457998,0.11075439453125,3.7566190113138873,3050
16765,2056.49,-70.5549,300,307,5029888,0.6502918601036072,0.2,0.033715658,-0.011840691062934639,0.45423606038093567,0.0003,-0.4169643110304605,0.150140380859375,1.4087142724587465,3060
16828,1964.69,-69.6369,299,308,5046272,0.580183207988739,0.2,0.0316246,-0.006639795392220549,0.059924446046352386,0.0003,-0.41779196603456514,0.11884765625,1.3963553812223837,3070
16879,2059.47,-70.5847,299,309,5062656,0.7648418098688126,0.2,0.031455368,-0.0076573903434109525,0.07620857656002045,0.0003,-0.4944540192373097,0.144073486328125,1.4182053096752498,3080
16933,2227.44,-72.26439999999998,299,310,5079040,0.703259140253067,0.2,0.0647134,-0.010167866043411777,0.044251419603824615,0.0003,-0.5455112634925172,0.212078857421875,1.321052744307235,3090
